Team,Season,HDCF,Time Led,Playoff Wins,GF_EN,GA_EN,PP%,PK%,W,ROW,,,,,
OTT,2017,48.24,18.72,11,16,4,17.0,79.7,44,38,,,,,
PHI,2017,49.54,13.78,-1,7,11,19.5,79.8,39,32,,,,,
PIT,2017,52.94,22.1,16,10,8,23.1,79.8,50,46,,,,,
S.J,2017,54.03,22.37,2,12,11,16.7,80.7,46,44,,,,,
STL,2017,50.43,21.02,6,18,15,21.3,84.8,46,44,,,,,
T.B,2017,49.43,16.98,-1,11,11,22.8,81.4,42,38,,,,,
TOR,2017,52.06,24.22,2,8,7,23.8,82.5,40,39,,,,,
VAN,2017,44.36,13.07,-1,3,16,14.1,76.7,30,26,,,,,
WSH,2017,49.5,27.77,7,11,7,23.1,83.8,55,53,,,,,
WPG,2017,51.26,17.75,-1,13,12,18.2,77.5,40,37,,,,,
